XY
realPoint:(62,206)
point:(-265.4498801363767, 42.85794103426099)   distance=365.8397947256533
point:(183.26160997171064, -443.71397283473993)   distance=660.9331468080811
X
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(31.275071949342305, -157.92585938078219)   distance=30.724928050657695     ¡Ì
point:(148.81765422344904, -262.288745626621)   distance=86.81765422344904     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-96.41241651555833, 173.4450522781715)   distance=158.41241651555833
point:(-60.698631098482906, 79.91697589603098)   distance=122.6986310984829     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-33.73655403173359, -556.9725372466307)   distance=95.73655403173359     ¡Ì
point:(48.040230177207036, -332.5483957274371)   distance=13.959769822792964     ¡Ì
point:(150.60883965887035, -377.62553514832643)   distance=88.60883965887035     ¡Ì
point:(-6.491139142008137, 331.5000287517011)   distance=68.49113914200814     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=109.46144258180834     ¡Ì
point:(-37.91460996829733, -5.640798995752789)   distance=99.91460996829733     ¡Ì
point:(217.26679378190204, -111.6529663115814)   distance=155.26679378190204
point:(217.26679378190204, -111.6529663115814)   distance=155.26679378190204
point:(-113.65751847849015, 296.94821078098903)   distance=175.65751847849015
point:(34.13004036950804, -342.5081148091265)   distance=27.869959630491962     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(222.0691186283592, -111.78721546427812)   distance=160.0691186283592
point:(292.8035423513235, 143.28021202545733)   distance=230.80354235132347
point:(-76.94829885584068, 169.54958059453497)   distance=138.94829885584068     ¡Ì
point:(22.20547111686085, -128.69541898244825)   distance=39.79452888313915     ¡Ì
point:(14.1060977827143, -47.59397120122139)   distance=47.8939022172857     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(-76.94829885584068, 169.54958059453497)   distance=138.94829885584068     ¡Ì
point:(-78.87261742293174, -360.2433696796322)   distance=140.87261742293174     ¡Ì
point:(-128.00376464124872, 34.82204242408591)   distance=190.00376464124872
point:(182.2583644923776, -562.7989170540889)   distance=120.25836449237761     ¡Ì
point:(-318.5948606896194, 230.33098972265253)   distance=380.5948606896194
point:(-76.94829885584068, 169.54958059453497)   distance=138.94829885584068     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(192.93623423007512, -29.921467597548713)   distance=130.93623423007512     ¡Ì
point:(203.15623036627915, -691.0554296367461)   distance=141.15623036627915     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-108.78613697257185, -188.78397027343476)   distance=170.78613697257185
point:(-88.42083965573784, -302.63758410982655)   distance=150.42083965573784
point:(-23.660826361464046, -80.65125877428682)   distance=85.66082636146405     ¡Ì
point:(127.67146377751965, -83.20429429861099)   distance=65.67146377751965     ¡Ì
point:(113.95194893316136, -196.79165923188953)   distance=51.95194893316136     ¡Ì
point:(-19.933049767268244, 419.1664740905215)   distance=81.93304976726824     ¡Ì
point:(148.54396314359974, 136.83966931537532)   distance=86.54396314359974     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(-108.03297493864545, 257.33103865569245)   distance=170.03297493864545
point:(-40.69951979932898, 5.108600641185831)   distance=102.69951979932898     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=109.46144258180834     ¡Ì
point:(-76.94829885584068, 169.54958059453497)   distance=138.94829885584068     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(23.521733481607157, -164.16371739932765)   distance=38.47826651839284     ¡Ì
point:(5.846649959359752, -187.09739778573623)   distance=56.15335004064025     ¡Ì
point:(104.35069109606036, -143.56905332119425)   distance=42.35069109606036     ¡Ì
point:(-154.37159876311864, -1.3918193191600494)   distance=216.37159876311864
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-328.550058408416, 270.23107470805553)   distance=390.550058408416
point:(-279.7335285107557, -365.44067244726466)   distance=341.7335285107557
point:(182.2583644923776, -562.7989170540889)   distance=120.25836449237761     ¡Ì
point:(48.040230177207036, -332.5483957274371)   distance=13.959769822792964     ¡Ì
point:(82.6604436743811, -521.1899424759345)   distance=20.6604436743811     ¡Ì
point:(-14.533835542568909, -99.45666001907625)   distance=76.53383554256891     ¡Ì
point:(35.4184076090861, -372.21923857774595)   distance=26.581592390913897     ¡Ì
point:(-60.698631098482906, 79.91697589603098)   distance=122.6986310984829     ¡Ì
point:(-60.64649356940288, -362.60098396374065)   distance=122.64649356940288     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(2196.218100441542, 1290.6481197590379)   distance=2134.218100441542
point:(148.54396314359974, 136.83966931537532)   distance=86.54396314359974     ¡Ì
point:(-318.5948606896194, 230.33098972265253)   distance=380.5948606896194
point:(25.61606980513784, 151.85757463300683)   distance=36.38393019486216     ¡Ì
point:(-73.50202212091176, -387.41664845284276)   distance=135.50202212091176     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(192.93623423007512, -29.921467597548713)   distance=130.93623423007512     ¡Ì
point:(-33.73655403173359, -556.9725372466307)   distance=95.73655403173359     ¡Ì
point:(-168.57381818958322, -319.504721454967)   distance=230.57381818958322
point:(-3.5178345402601963, -185.99163563644765)   distance=65.5178345402602     ¡Ì
point:(-114.0218322150813, 261.86220929426554)   distance=176.0218322150813
point:(60.21473490454332, -348.1200975353711)   distance=1.7852650954566798     ¡Ì
point:(82.6604436743811, -521.1899424759345)   distance=20.6604436743811     ¡Ì
point:(426.76851380439143, -522.857859910712)   distance=364.76851380439143
point:(-158.8587091647954, -313.6976497381652)   distance=220.8587091647954
point:(-3.5178345402601963, -185.99163563644765)   distance=65.5178345402602     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=109.46144258180834     ¡Ì
point:(68.76892111245945, -532.1651537004636)   distance=6.768921112459452     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-88.42083965573784, -302.63758410982655)   distance=150.42083965573784
point:(139.41861382841387, 216.90862602664293)   distance=77.41861382841387     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(16.491063667943195, -47.90284087785551)   distance=45.508936332056805     ¡Ì
point:(-37.91460996829733, -5.640798995752789)   distance=99.91460996829733     ¡Ì
point:(64.89868461694084, -535.8457139975251)   distance=2.898684616940841     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(53.788436585457816, -373.52572128944894)   distance=8.211563414542184     ¡Ì
point:(82.6604436743811, -521.1899424759345)   distance=20.6604436743811     ¡Ì
point:(82.6604436743811, -521.1899424759345)   distance=20.6604436743811     ¡Ì
point:(-32.63731106808336, -576.5867901499616)   distance=94.63731106808336     ¡Ì
point:(-85.86460566752669, 207.33920858210013)   distance=147.8646056675267
point:(-42.66438974215009, -556.2042056351174)   distance=104.66438974215009     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=118.85184022963085     ¡Ì
point:(25.61606980513784, 151.85757463300683)   distance=36.38393019486216     ¡Ì
point:(40.285661559267396, 182.02291077112147)   distance=21.714338440732604     ¡Ì
point:(266.69867872642055, -376.4622593913739)   distance=204.69867872642055
point:(15.441591625453043, 255.9499000617817)   distance=46.55840837454696     ¡Ì
point:(-68.83799943493, 141.57150025483054)   distance=130.83799943493     ¡Ì
point:(-3.5178345402601963, -185.99163563644765)   distance=65.5178345402602     ¡Ì
point:(183.0233343703934, -377.96203082699526)   distance=121.0233343703934     ¡Ì
point:(291.827308652248, -468.80486295263495)   distance=229.827308652248
point:(45.23271556479892, 165.1973668071464)   distance=16.767284435201077     ¡Ì
point:(-120.08821099591535, -168.62203971347276)   distance=182.08821099591535
point:(-50.75598923576831, -497.1886937280169)   distance=112.75598923576831     ¡Ì
point:(290.6597956404089, -461.6309366838784)   distance=228.6597956404089
point:(150.60883965887035, -377.62553514832643)   distance=88.60883965887035     ¡Ì
point:(318.4113036842822, -650.409562785997)   distance=256.4113036842822
point:(263.03630590879163, -246.03045495771096)   distance=201.03630590879163
point:(-245.41462641426358, -51.34585494389785)   distance=307.4146264142636
point:(40.285661559267396, 182.02291077112147)   distance=21.714338440732604     ¡Ì
point:(-265.4498801363767, 42.85794103426099)   distance=327.4498801363767
point:(183.26160997171064, -443.71397283473993)   distance=121.26160997171064     ¡Ì
Y
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(31.275071949342305, -157.92585938078219)   distance=363.9258593807822
point:(148.81765422344904, -262.288745626621)   distance=468.288745626621
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(-96.41241651555833, 173.4450522781715)   distance=32.55494772182851     ¡Ì
point:(-60.698631098482906, 79.91697589603098)   distance=126.08302410396902     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(61.42379676692349, -463.6170253865225)   distance=669.6170253865225
point:(-33.73655403173359, -556.9725372466307)   distance=762.9725372466307
point:(48.040230177207036, -332.5483957274371)   distance=538.5483957274371
point:(150.60883965887035, -377.62553514832643)   distance=583.6255351483264
point:(-6.491139142008137, 331.5000287517011)   distance=125.50002875170111     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=210.1035386844752
point:(-37.91460996829733, -5.640798995752789)   distance=211.6407989957528
point:(217.26679378190204, -111.6529663115814)   distance=317.6529663115814
point:(217.26679378190204, -111.6529663115814)   distance=317.6529663115814
point:(-113.65751847849015, 296.94821078098903)   distance=90.94821078098903     ¡Ì
point:(34.13004036950804, -342.5081148091265)   distance=548.5081148091265
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(222.0691186283592, -111.78721546427812)   distance=317.7872154642781
point:(292.8035423513235, 143.28021202545733)   distance=62.71978797454267     ¡Ì
point:(-76.94829885584068, 169.54958059453497)   distance=36.45041940546503     ¡Ì
point:(22.20547111686085, -128.69541898244825)   distance=334.69541898244825
point:(14.1060977827143, -47.59397120122139)   distance=253.5939712012214
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(-76.94829885584068, 169.54958059453497)   distance=36.45041940546503     ¡Ì
point:(-78.87261742293174, -360.2433696796322)   distance=566.2433696796322
point:(-128.00376464124872, 34.82204242408591)   distance=171.1779575759141
point:(182.2583644923776, -562.7989170540889)   distance=768.7989170540889
point:(-318.5948606896194, 230.33098972265253)   distance=24.330989722652532     ¡Ì
point:(-76.94829885584068, 169.54958059453497)   distance=36.45041940546503     ¡Ì
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(192.93623423007512, -29.921467597548713)   distance=235.9214675975487
point:(203.15623036627915, -691.0554296367461)   distance=897.0554296367461
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(-108.78613697257185, -188.78397027343476)   distance=394.78397027343476
point:(-88.42083965573784, -302.63758410982655)   distance=508.63758410982655
point:(-23.660826361464046, -80.65125877428682)   distance=286.6512587742868
point:(127.67146377751965, -83.20429429861099)   distance=289.204294298611
point:(113.95194893316136, -196.79165923188953)   distance=402.7916592318895
point:(-19.933049767268244, 419.1664740905215)   distance=213.1664740905215
point:(148.54396314359974, 136.83966931537532)   distance=69.16033068462468     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(-108.03297493864545, 257.33103865569245)   distance=51.33103865569245     ¡Ì
point:(-40.69951979932898, 5.108600641185831)   distance=200.89139935881417
point:(-47.46144258180834, -4.103538684475211)   distance=210.1035386844752
point:(-76.94829885584068, 169.54958059453497)   distance=36.45041940546503     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(23.521733481607157, -164.16371739932765)   distance=370.16371739932765
point:(5.846649959359752, -187.09739778573623)   distance=393.09739778573623
point:(104.35069109606036, -143.56905332119425)   distance=349.56905332119425
point:(-154.37159876311864, -1.3918193191600494)   distance=207.39181931916005
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(-328.550058408416, 270.23107470805553)   distance=64.23107470805553     ¡Ì
point:(-279.7335285107557, -365.44067244726466)   distance=571.4406724472647
point:(182.2583644923776, -562.7989170540889)   distance=768.7989170540889
point:(48.040230177207036, -332.5483957274371)   distance=538.5483957274371
point:(82.6604436743811, -521.1899424759345)   distance=727.1899424759345
point:(-14.533835542568909, -99.45666001907625)   distance=305.45666001907625
point:(35.4184076090861, -372.21923857774595)   distance=578.219238577746
point:(-60.698631098482906, 79.91697589603098)   distance=126.08302410396902     ¡Ì
point:(-60.64649356940288, -362.60098396374065)   distance=568.6009839637406
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(2196.218100441542, 1290.6481197590379)   distance=1084.6481197590379
point:(148.54396314359974, 136.83966931537532)   distance=69.16033068462468     ¡Ì
point:(-318.5948606896194, 230.33098972265253)   distance=24.330989722652532     ¡Ì
point:(25.61606980513784, 151.85757463300683)   distance=54.142425366993166     ¡Ì
point:(-73.50202212091176, -387.41664845284276)   distance=593.4166484528428
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(192.93623423007512, -29.921467597548713)   distance=235.9214675975487
point:(-33.73655403173359, -556.9725372466307)   distance=762.9725372466307
point:(-168.57381818958322, -319.504721454967)   distance=525.504721454967
point:(-3.5178345402601963, -185.99163563644765)   distance=391.99163563644765
point:(-114.0218322150813, 261.86220929426554)   distance=55.86220929426554     ¡Ì
point:(60.21473490454332, -348.1200975353711)   distance=554.1200975353711
point:(82.6604436743811, -521.1899424759345)   distance=727.1899424759345
point:(426.76851380439143, -522.857859910712)   distance=728.857859910712
point:(-158.8587091647954, -313.6976497381652)   distance=519.6976497381652
point:(-3.5178345402601963, -185.99163563644765)   distance=391.99163563644765
point:(-47.46144258180834, -4.103538684475211)   distance=210.1035386844752
point:(68.76892111245945, -532.1651537004636)   distance=738.1651537004636
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(-88.42083965573784, -302.63758410982655)   distance=508.63758410982655
point:(139.41861382841387, 216.90862602664293)   distance=10.908626026642935     ¡Ì
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(16.491063667943195, -47.90284087785551)   distance=253.9028408778555
point:(-37.91460996829733, -5.640798995752789)   distance=211.6407989957528
point:(64.89868461694084, -535.8457139975251)   distance=741.8457139975251
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(53.788436585457816, -373.52572128944894)   distance=579.5257212894489
point:(82.6604436743811, -521.1899424759345)   distance=727.1899424759345
point:(82.6604436743811, -521.1899424759345)   distance=727.1899424759345
point:(-32.63731106808336, -576.5867901499616)   distance=782.5867901499616
point:(-42.66438974215009, -556.2042056351174)   distance=762.2042056351174
point:(-56.85184022963085, 82.59944793069201)   distance=123.40055206930799     ¡Ì
point:(25.61606980513784, 151.85757463300683)   distance=54.142425366993166     ¡Ì
point:(40.285661559267396, 182.02291077112147)   distance=23.977089228878526     ¡Ì
point:(266.69867872642055, -376.4622593913739)   distance=582.4622593913739
point:(15.441591625453043, 255.9499000617817)   distance=49.949900061781705     ¡Ì
point:(-68.83799943493, 141.57150025483054)   distance=64.42849974516946     ¡Ì
point:(-3.5178345402601963, -185.99163563644765)   distance=391.99163563644765
point:(183.0233343703934, -377.96203082699526)   distance=583.9620308269953
point:(291.827308652248, -468.80486295263495)   distance=674.804862952635
point:(45.23271556479892, 165.1973668071464)   distance=40.80263319285359     ¡Ì
point:(-120.08821099591535, -168.62203971347276)   distance=374.62203971347276
point:(-50.75598923576831, -497.1886937280169)   distance=703.1886937280169
point:(290.6597956404089, -461.6309366838784)   distance=667.6309366838784
point:(150.60883965887035, -377.62553514832643)   distance=583.6255351483264
point:(318.4113036842822, -650.409562785997)   distance=856.409562785997
point:(263.03630590879163, -246.03045495771096)   distance=452.03045495771096
point:(-245.41462641426358, -51.34585494389785)   distance=257.34585494389785
point:(40.285661559267396, 182.02291077112147)   distance=23.977089228878526     ¡Ì
point:(-265.4498801363767, 42.85794103426099)   distance=163.142058965739
point:(183.26160997171064, -443.71397283473993)   distance=649.7139728347399
XY
realPoint:(368,447)
critical distance is 144.00
point:(302.40873671881525, 425.4414234211366)   distance=69.04336349663457     ¡Ì
point:(174.1295962589321, -418.05785240948853)   distance=886.5161146093403
point:(280.6472024473377, -336.79961039409227)   distance=788.6522303868843
point:(380.01723946568137, 556.9062189067441)   distance=110.561254509673     ¡Ì
point:(395.24335000542266, 518.8264385067666)   distance=76.81951176676594     ¡Ì
point:(-47.46144258180834, -4.103538684475211)   distance=613.2720545449736
point:(-85.46093821343982, 1005.4661698778116)   distance=719.3825723378387
point:(186.04104569015374, 52.96448935136527)   distance=434.0196363134542
point:(-58.34729237899512, 96.30261192798116)   distance=552.0513306925693
point:(457.0467500645003, -95.89623431612927)   distance=550.1505656924139
point:(380.01723946568137, 556.9062189067441)   distance=110.561254509673     ¡Ì
point:(454.97056102304856, -109.07526337808781)   distance=562.8353018651846
point:(397.76479133245067, 803.302325547686)   distance=357.5434099431194
point:(209.23258113211068, 433.8988851233688)   distance=159.30703846654893
point:(111.8021039081666, 334.04389648303754)   distance=279.9936486487088
point:(513.3808151461201, 551.9854218246606)   distance=179.32518007310705
point:(225.25097794478802, 285.41924022401366)   distance=215.60525324653943
point:(259.84251280473734, 819.0105766794921)   distance=387.4143920891449
point:(-3.625358882493174, 636.2015060461532)   distance=417.01632732385235
point:(53.84592592645686, 730.4659159842697)   distance=423.13792997296554
point:(340.7501165061236, 313.8932364951054)   distance=135.86745983191773     ¡Ì
point:(185.69079660854857, 510.1251579252323)   distance=192.92856502941996
point:(354.19439353675784, 394.00915322060666)   distance=54.75969879587592     ¡Ì
point:(563.6777782146521, 419.8177109791593)   distance=197.55675063999988
point:(115.98830915810231, 586.4565300535102)   distance=288.02433247133445
point:(352.2570367424198, 278.1467525365868)   distance=169.58555383955962
point:(436.93153911302375, -29.461107200490005)   distance=481.4215863037377
point:(139.41861382841387, 216.90862602664293)   distance=324.33237655385415
point:(211.99562891914263, 99.78261256372889)   distance=380.6537507163215
point:(272.37126349982816, 128.39133632527682)   distance=332.6504709349021
point:(563.6777782146521, 419.8177109791593)   distance=197.55675063999988
point:(410.77874679797003, -543.1153391629282)   distance=991.0390537326595
point:(351.5897369333028, -198.6829894401742)   distance=645.8914921148275
point:(76.55201190147727, 381.21356784085896)   distance=298.7804953856692
point:(124.47006539078632, 218.59292302584015)   distance=333.88114930712646
point:(522.7240852655837, 131.2033873276788)   distance=351.6632524683005
point:(122.81964129479024, 841.2884001388313)   distance=464.30243460362607
point:(417.6406757299484, 49.06817247977642)   distance=401.0161294019367
point:(119.26095029810688, 296.60509537616974)   distance=290.6711925585538
point:(420.81133761822946, 36.576391431554384)   distance=413.807413963756
point:(245.651395043575, 219.99607241604406)   distance=257.87586989349205
